"Connect using 
""PLX-DAQ Simple Test""";;;;;;;;;
16:57:41;;14;;;;;;;
16:57:43;;14;;;;;;;
16:57:45;;14;;;;;;;
16:57:46;;14;;;;;;;
16:57:48;;13;;;;;;;
16:57:50;;13;;;;;;;
16:57:52;;13;;;;;;;
16:57:53;;13;;;;;;;
16:57:55;;13;;;;;;;
16:57:57;;13;;;;;;;
16:57:59;;13;;;;;;;
16:58:00;;12;;;;;;;
16:58:02;;13;;;;;;;
16:58:04;;13;;;;;;;
16:58:06;;14;;;;;;;
16:58:07;;14;;;;;;;
16:58:09;;14;;;;;;;
16:58:11;;14;;;;;;;
16:58:13;;14;;;;;;;
16:58:14;;14;;;;;;;
16:58:16;;13;;;;;;;
16:58:18;;13;;;;;;;
16:58:20;;13;;;;;;;
16:58:21;;13;;;;;;;
16:58:23;;13;;;;;;;
16:58:25;;13;;;;;;;
16:58:27;;13;;;;;;;
16:58:28;;13;;;;;;;
16:58:30;;12;;;;;;;
16:58:32;;13;;;;;;;
16:58:34;;11;;;;;;;
16:58:36;;12;;;;;;;
16:58:37;;13;;;;;;;
16:58:39;;12;;;;;;;
16:58:41;;13;;;;;;;
16:58:43;;13;;;;;;;
16:58:44;;13;;;;;;;
16:58:46;;12;;;;;;;
16:58:48;;13;;;;;;;
16:58:50;;13;;;;;;;
16:58:51;;13;;;;;;;
16:58:53;;13;;;;;;;
16:58:55;;13;;;;;;;
16:58:57;;13;;;;;;;
16:58:58;;13;;;;;;;
16:59:00;;13;;;;;;;
16:59:02;;13;;;;;;;
16:59:04;;13;;;;;;;
16:59:05;;13;;;;;;;
16:59:07;;13;;;;;;;
16:59:09;;13;;;;;;;
16:59:11;;13;;;;;;;
16:59:12;;13;;;;;;;
16:59:14;;13;;;;;;;
16:59:16;;13;;;;;;;
16:59:18;;13;;;;;;;
16:59:19;;13;;;;;;;
16:59:21;;13;;;;;;;
16:59:23;;13;;;;;;;
16:59:25;;13;;;;;;;
16:59:27;;13;;;;;;;
16:59:28;;13;;;;;;;
16:59:30;;13;;;;;;;
16:59:32;;13;;;;;;;
16:59:34;;11;;;;;;;
16:59:35;;11;;;;;;;
16:59:37;;12;;;;;;;
16:59:39;;11;;;;;;;
16:59:41;;11;;;;;;;
16:59:42;;12;;;;;;;
16:59:44;;12;;;;;;;
16:59:46;;12;;;;;;;
16:59:48;;11;;;;;;;
16:59:49;;12;;;;;;;
16:59:51;;12;;;;;;;
16:59:53;;12;;;;;;;
16:59:55;;12;;;;;;;
16:59:56;;12;;;;;;;
16:59:58;;11;;;;;;;
17:00:00;;11;;;;;;;
17:00:02;;11;;;;;;;
17:00:03;;10;;;;;;;
17:00:05;;10;;;;;;;
17:00:07;;11;;;;;;;
17:00:09;;11;;;;;;;
17:00:10;;11;;;;;;;
17:00:12;;11;;;;;;;
17:00:14;;11;;;;;;;
17:00:16;;11;;;;;;;
17:00:17;;10;;;;;;;
17:00:19;;10;;;;;;;
17:00:21;;11;;;;;;;
17:00:23;;11;;;;;;;
17:00:25;;11;;;;;;;
17:00:26;;11;;;;;;;
17:00:28;;11;;;;;;;
17:00:30;;11;;;;;;;
17:00:32;;11;;;;;;;
17:00:33;;11;;;;;;;
17:00:35;;11;;;;;;;
17:00:37;;11;;;;;;;
17:00:39;;11;;;;;;;
17:00:40;;11;;;;;;;
17:00:42;;11;;;;;;;
17:00:44;;11;;;;;;;
17:00:46;;11;;;;;;;
17:00:47;;11;;;;;;;
17:00:49;;12;;;;;;;
17:00:51;;12;;;;;;;
17:00:53;;11;;;;;;;
17:00:54;;11;;;;;;;
17:00:56;;11;;;;;;;
17:00:58;;11;;;;;;;
17:01:00;;11;;;;;;;
17:01:01;;11;;;;;;;
17:01:03;;10;;;;;;;
17:01:05;;11;;;;;;;
17:01:07;;10;;;;;;;
17:01:08;;10;;;;;;;
17:01:10;;10;;;;;;;
17:01:12;;10;;;;;;;
17:01:14;;10;;;;;;;
17:01:16;;10;;;;;;;
17:01:17;;10;;;;;;;
17:01:19;;10;;;;;;;
17:01:21;;10;;;;;;;
17:01:23;;10;;;;;;;
17:01:24;;10;;;;;;;
17:01:26;;10;;;;;;;
17:01:28;;10;;;;;;;
17:01:30;;10;;;;;;;
17:01:31;;10;;;;;;;
17:01:33;;10;;;;;;;
17:01:35;;10;;;;;;;
17:01:37;;10;;;;;;;
17:01:38;;10;;;;;;;
17:01:40;;10;;;;;;;
17:01:42;;10;;;;;;;
17:01:44;;10;;;;;;;
17:01:45;;11;;;;;;;
17:01:47;;10;;;;;;;
17:01:49;;11;;;;;;;
17:01:51;;10;;;;;;;
17:01:52;;10;;;;;;;
17:01:54;;10;;;;;;;
17:01:56;;11;;;;;;;
17:01:58;;10;;;;;;;
17:01:59;;10;;;;;;;
17:02:01;;10;;;;;;;
17:02:03;;10;;;;;;;
17:02:05;;10;;;;;;;
17:02:06;;10;;;;;;;
17:02:08;;10;;;;;;;
17:02:10;;10;;;;;;;
17:02:12;;10;;;;;;;
17:02:14;;10;;;;;;;
17:02:15;;10;;;;;;;
17:02:17;;10;;;;;;;
17:02:19;;10;;;;;;;
17:02:21;;10;;;;;;;
17:02:22;;10;;;;;;;
17:02:24;;10;;;;;;;
17:02:26;;10;;;;;;;
17:02:28;;10;;;;;;;
17:02:29;;10;;;;;;;
17:02:31;;10;;;;;;;
17:02:33;;10;;;;;;;
17:02:35;;10;;;;;;;
17:02:36;;10;;;;;;;
17:02:38;;10;;;;;;;
17:02:40;;10;;;;;;;
17:02:42;;10;;;;;;;
17:02:43;;10;;;;;;;
17:02:45;;10;;;;;;;
17:02:47;;10;;;;;;;
17:02:49;;10;;;;;;;
17:02:50;;10;;;;;;;
17:02:52;;10;;;;;;;
17:02:54;;10;;;;;;;
17:02:56;;10;;;;;;;
17:02:57;;10;;;;;;;
17:02:59;;10;;;;;;;
17:03:01;;10;;;;;;;
17:03:03;;10;;;;;;;
17:03:05;;10;;;;;;;
17:03:06;;10;;;;;;;
17:03:08;;10;;;;;;;
17:03:10;;10;;;;;;;
17:03:12;;10;;;;;;;
17:03:13;;10;;;;;;;
17:03:15;;10;;;;;;;
17:03:17;;10;;;;;;;
17:03:19;;10;;;;;;;
17:03:20;;10;;;;;;;
17:03:22;;10;;;;;;;
17:03:24;;10;;;;;;;
17:03:26;;10;;;;;;;
17:03:27;;10;;;;;;;
17:03:29;;9;;;;;;;
17:03:31;;10;;;;;;;
17:03:33;;10;;;;;;;
17:03:34;;10;;;;;;;
17:03:36;;10;;;;;;;
17:03:38;;10;;;;;;;
17:03:40;;10;;;;;;;
17:03:41;;9;;;;;;;
17:03:43;;9;;;;;;;
17:03:45;;9;;;;;;;
17:03:47;;9;;;;;;;
17:03:48;;10;;;;;;;
17:03:50;;10;;;;;;;
17:03:52;;10;;;;;;;
17:03:54;;10;;;;;;;
17:03:55;;10;;;;;;;
17:03:57;;10;;;;;;;
17:03:59;;10;;;;;;;
17:04:01;;10;;;;;;;
17:04:03;;10;;;;;;;
17:04:04;;10;;;;;;;
17:04:06;;10;;;;;;;
